ID;P1_1;P1_2;P1_3;P1_4;P1_5;P1_6;P1_7;P1_8;P2_1;P2_2;P2_3;P2_4;P2_5;P3_1;P3_2;P3_3;P3_4;P4_1;P4_2;P4_3;P4_4;P4_5;P5_1;P5_2;P5_3;P5_4;P5_5;P5_6;P5_7;P5_8;P5_9;P6_1;P6_2;P6_3;P6_4;P6_5;P7;P8
E1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
E2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
E3;4;4;4;4;4;4;4;4;4;3;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
E4;1;1;3;4;3;4;4;3;2;3;4;1;2;4;3;1;4;3;4;3;3;1;1;4;4;0;4;2;4;4;3;4;2;3;3;1;3;3
E5;3;2;4;4;2;3;4;3;0;2;3;0;0;2;3;2;2;2;3;3;4;3;3;4;3;2;4;4;4;3;3;4;4;4;4;0;3;3
E6;4;1;4;4;4;4;4;4;1;0;1;1;1;2;2;1;1;1;2;2;1;4;2;2;2;2;2;2;2;2;2;4;4;4;4;4;0;0
E7;3;1;2;1;4;3;2;4;1;3;4;0;0;4;3;0;4;1;3;4;3;1;1;4;2;4;3;3;2;1;2;3;2;1;2;1;2;1
E8;0;0;0;0;0;1;0;0;1;1;0;2;0;3;1;0;0;1;2;1;0;3;1;4;4;4;2;1;3;0;1;3;3;2;1;4;1;1
E9;4;2;3;2;2;2;3;1;3;2;3;4;2;2;3;4;4;3;3;4;4;4;4;4;4;4;4;3;2;1;1;4;4;4;4;4;4;3
E10;2;2;2;3;4;3;4;4;4;4;3;2;1;3;2;0;3;3;2;2;3;4;0;2;4;3;4;4;3;2;4;2;3;2;2;3;2;3
E11;3;4;3;2;4;1;2;0;0;3;0;1;0;2;4;0;4;1;4;4;4;4;2;4;4;1;2;2;4;0;4;4;2;4;4;0;4;3
E12;1;2;2;1;2;1;2;1;1;1;2;2;0;2;3;2;4;2;1;2;1;3;1;4;2;3;2;1;2;2;2;2;2;1;3;2;1;1
E13;3;2;2;3;1;4;2;2;1;1;1;2;1;2;2;3;4;1;3;2;3;4;1;4;2;4;3;3;2;2;2;2;2;2;2;2;1;2
E14;3;2;1;2;2;3;3;0;1;0;0;0;1;2;2;1;3;1;3;1;1;2;2;2;1;1;3;2;2;1;3;3;2;2;2;1;3;2
E15;1;2;2;3;2;1;1;0;1;1;0;0;0;2;1;1;1;1;2;1;2;2;2;4;1;3;3;2;4;2;2;2;3;1;2;2;2;1
